,gvkey,permno,adate,qdate,datadate,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,cfm,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_at,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,ticker,cusip,splticrm
191,3062,23660,2010/5/31,2011/2/28,2011-05-31,16.055,0.646,8.425,21.331,21.331,21.194,21.194,1.219,13.28,0.631,0.062,0.151,0.111,0.462,0.099,0.142,0.088,0.126,0.373,0.094,0.083,0.094,0.212,0.175,0.435,0.757,0.243,0.243,0.243,0.115,0.062,0.062,0.244,0.397,0.289,1.413,0.002,0.272,0.537,1.398,0.849,0.391,0.487,1.602,0.302,0.201,0.374,0.263,0.597,5.692,8.306,0.896,2.097,3.476,124.962,3.607,0.941,9.204,24.333,1.138,1.502,3.735,0.0,0.0,0.0,-0.028,1.713,,1.49%,CTAS,17290810,BBB+
192,3062,23660,2014/5/31,2015/2/28,2015-06-30,30.98,0.239,11.319,25.633,25.948,23.239,22.497,2.114,15.752,0.466,0.098,0.189,0.153,0.465,0.158,0.187,0.178,0.194,0.384,0.197,0.134,0.197,0.323,0.245,0.462,0.626,0.374,0.374,0.374,0.133,0.05,0.05,0.251,0.397,0.262,1.536,0.0,0.291,0.561,1.256,0.89,0.268,0.675,2.731,0.538,0.289,0.515,0.399,1.063,7.722,10.496,0.862,1.717,2.846,135.328,3.141,0.994,8.882,16.644,1.284,2.051,3.591,0.0,0.0,0.0,-0.036,4.144,1.193,1.00%,CTAS,17290810,A-
193,3062,23660,2016/5/31,2016/5/31,2016-08-31,33.272,0.213,11.805,28.316,28.731,28.731,18.923,2.513,26.463,0.256,0.093,0.193,0.159,0.468,0.146,0.228,0.214,0.245,0.364,0.242,0.151,0.242,0.416,0.301,0.559,0.637,0.363,0.449,0.363,0.127,0.056,0.05,0.093,0.496,0.355,1.373,0.192,0.361,0.464,1.161,0.571,0.206,0.409,2.275,0.499,0.317,0.551,0.434,1.227,7.963,11.913,0.257,0.982,1.95,132.175,3.369,1.182,9.239,23.553,1.696,2.662,6.334,0.0,0.0,0.0,-0.002,5.864,1.635,0.89%,CTAS,17290810,BBB+
196,2991,14541,2008/12/31,2009/9/30,2010-01-31,8.472,0.725,5.564,11.689,11.727,11.727,11.727,0.934,8.239,0.426,0.079,0.174,0.1,0.209,0.129,0.167,0.124,0.159,0.442,0.141,0.117,0.141,0.157,0.12,0.201,0.896,0.099,0.111,0.099,0.158,0.028,0.025,0.117,0.185,0.454,0.404,0.113,0.372,0.134,1.004,0.652,0.4,-0.169,0.778,0.097,0.068,0.45,0.23,0.822,46.084,56.692,0.315,1.065,1.308,11.289,18.774,0.961,9.685,7.964,1.575,1.757,18.698,0.005,0.0,0.0,-0.032,1.413,,3.77%,CVX,16676410,AA
197,2991,14541,2015/12/31,2015/12/31,2016-02-29,7.99,1.024,11.763,32.341,32.467,34.057,34.057,1.282,8.076,1.742,0.037,0.144,-0.027,0.207,0.04,0.066,0.026,-0.018,0.027,0.03,0.026,0.03,-0.017,-0.015,0.095,0.814,0.179,0.206,0.181,0.229,0.017,0.015,0.101,0.179,0.364,2.183,0.128,0.236,0.3,0.668,0.735,0.173,-0.516,0.596,0.194,0.145,0.422,0.254,0.735,10.267,-6.782,0.428,1.096,1.336,7.137,15.147,0.461,8.283,5.97,0.654,0.803,13.798,0.005,0.0,0.0,-0.056,0.906,,5.13%,CVX,16676410,AA-
198,4029,64936,2008/12/31,2009/9/30,2010-01-31,13.208,0.748,7.69,11.562,11.562,13.052,13.427,1.416,5.294,0.606,0.107,0.309,0.24,0.309,0.168,0.117,0.116,0.136,0.322,0.16,0.086,0.157,0.162,0.124,0.117,0.407,0.583,0.656,0.583,0.185,0.056,0.049,0.003,0.149,0.294,3.557,0.111,0.213,0.502,0.745,0.645,0.084,0.062,1.294,1.045,0.415,0.736,0.627,2.79,2.977,4.422,0.012,0.938,1.103,44.791,10.13,0.378,7.444,9.02,0.596,1.431,24.638,0.0,0.0,0.0,-0.061,1.451,50.814,4.67%,D,25746U10,A-
199,4029,64936,2015/12/31,2015/12/31,2016-02-29,30.982,0.498,13.541,20.625,20.625,21.85,21.85,3.569,9.319,0.809,0.163,0.438,0.318,0.438,0.242,0.09,0.097,0.094,0.32,0.157,0.071,0.157,0.103,0.085,0.087,0.34,0.635,0.778,0.651,0.307,0.044,0.037,0.013,0.322,0.327,5.66,0.184,0.18,0.523,0.63,0.551,0.099,-0.246,1.088,1.176,0.492,0.769,0.701,3.569,2.891,3.705,0.075,0.35,0.516,76.903,4.763,0.207,7.783,7.754,0.314,0.923,,0.0,0.0,0.0,-0.046,2.077,0.143,3.70%,D,25746U10,BBB+
200,4087,11703,2008/12/31,2009/9/30,2010-01-31,12.469,0.26,10.12,24.705,24.893,44.068,44.068,1.105,8.283,2.225,0.026,0.128,0.071,0.304,0.024,0.094,0.078,0.103,0.159,0.081,0.068,0.079,0.109,0.072,0.228,0.457,0.5,0.659,0.515,0.083,0.06,0.045,0.107,0.313,0.438,3.023,0.241,0.319,0.28,0.383,0.401,0.109,0.561,2.501,1.074,0.289,0.781,0.633,3.779,2.467,4.062,0.334,1.15,1.674,132.702,3.991,0.748,4.1,7.127,1.709,3.62,4.456,0.05,0.0,0.0,-0.08,3.899,,5.03%,DD,26353410,BBB-
201,4087,11703,2010/12/31,2011/3/31,2011-05-31,19.248,0.21,10.005,14.724,14.806,14.847,14.847,1.477,11.957,0.457,0.099,0.16,0.119,0.319,0.114,0.138,0.383,0.204,0.178,0.387,0.198,0.378,0.193,0.136,0.267,0.465,0.5,0.565,0.512,0.141,0.045,0.04,0.195,0.279,0.378,2.102,0.114,0.301,0.331,0.59,0.455,0.149,0.602,2.706,1.062,0.281,0.751,0.609,3.167,8.407,8.873,0.648,1.528,2.121,108.731,4.234,0.834,4.599,6.567,1.677,3.517,3.289,0.05,0.0,0.0,-0.02,4.619,0.716,3.08%,DD,26353410,BBB
203,14489,11081,2009/1/31,2009/10/31,2010-01-31,8.996,0.178,7.794,13.163,13.163,17.432,17.432,0.491,7.498,0.0,0.028,0.067,0.052,0.198,0.039,0.125,0.336,0.388,0.255,0.336,0.237,0.336,0.324,0.112,0.358,0.62,0.38,0.401,0.38,0.043,0.05,0.048,0.471,0.039,0.313,0.853,0.052,0.65,0.116,0.222,0.217,0.085,0.914,11.18,0.613,0.103,0.84,0.724,5.268,11.357,18.964,0.725,1.372,1.428,,47.149,1.808,7.414,4.592,7.026,11.334,7.727,0.012,0.013,0.0,-0.068,5.024,,,DELL,24702R10,A-
204,14489,11081,2013/1/31,2013/1/31,2013-05-31,9.448,0.487,7.126,8.963,9.024,9.893,9.893,0.412,7.143,0.117,0.042,0.079,0.059,0.235,0.05,0.098,0.233,0.177,0.165,0.242,0.17,0.242,0.414,0.109,0.282,0.67,0.329,0.57,0.329,0.062,0.046,0.029,0.347,0.049,0.352,2.017,0.423,0.636,0.142,0.192,0.14,0.089,0.844,17.328,0.467,0.191,0.775,0.659,3.449,9.785,12.444,0.545,1.134,1.193,,31.258,1.237,5.797,3.746,3.571,5.331,12.572,0.019,0.015,0.0,-0.02,2.091,0.309,2.40%,DELL,24702R10,BBB
205,14489,11081,2013/1/31,2013/7/31,2013-09-30,10.06,0.484,8.235,14.475,14.475,18.093,18.093,0.427,5.467,0.419,0.024,0.063,0.04,0.225,0.028,0.078,0.128,0.122,0.165,0.13,0.102,0.13,0.336,0.08,0.277,0.693,0.306,0.526,0.307,0.046,0.054,0.031,0.331,0.053,0.361,2.265,0.418,0.636,0.133,0.158,0.197,0.089,0.87,16.362,0.437,0.175,0.769,0.646,3.332,6.335,9.112,0.521,1.12,1.182,,31.343,1.233,5.909,3.873,3.702,5.345,13.845,0.021,0.015,0.0,-0.068,2.243,0.753,2.33%,DELL,24702R10,BB-
208,25340,77661,2009/9/30,2009/9/30,2010-01-31,-15.77,0.624,-15.487,-6.815,-6.815,-6.855,-6.855,1.021,3.282,,-0.149,-0.122,-0.129,0.042,-0.151,-0.062,-0.214,-0.078,,-0.214,-0.06,-0.214,,,0.023,0.431,0.567,0.626,0.568,-0.14,0.067,0.056,0.448,,,-7.347,0.094,,0.661,,,0.254,0.995,77.651,1.314,0.485,0.664,0.611,1.986,-1.75,-2.379,,,,498.464,0.785,0.507,5.847,8.552,0.7,1.623,,0.0,0.009,0.0,-0.233,1.658,-0.69,1.27%,DHI,23331A10,BB-
209,25340,77661,2012/9/30,2013/3/31,2013-06-30,-22.919,0.478,20.754,19.704,20.462,7.0,7.0,1.318,-6.495,0.079,0.205,0.086,0.082,0.216,0.081,0.067,0.318,0.077,-2.937,0.318,0.226,0.318,,,0.153,0.602,0.398,0.436,0.398,0.216,0.062,0.056,0.289,,,5.845,0.089,,0.634,,,-0.082,,43.348,0.66,0.355,0.51,0.444,1.042,8.227,2.904,,,,436.226,0.822,0.706,21.912,21.63,0.868,1.442,,0.0,0.006,0.0,0.303,1.833,0.03,,DHI,23331A10,BB
210,25340,77661,2014/9/30,2015/6/30,2015-08-31,23.768,0.561,12.246,16.328,16.505,16.505,16.505,1.099,108.886,0.135,0.067,0.105,0.1,0.218,0.102,0.104,0.131,0.114,0.345,0.131,0.099,0.131,,,0.21,0.614,0.386,0.435,0.386,0.073,0.05,0.044,0.133,,,3.549,0.111,,0.652,,,-0.13,0.688,21.245,0.629,0.36,0.491,0.445,0.965,5.036,6.057,,,,377.503,0.927,0.963,57.934,17.924,1.161,1.892,,0.0,0.005,0.0,0.056,1.979,,0.82%,DHI,23331A10,BB+
211,25340,77661,2015/9/30,2016/6/30,2016-08-31,19.582,0.556,11.477,13.939,14.123,14.249,14.249,1.028,19.879,0.133,0.073,0.113,0.108,0.221,0.109,0.118,0.141,0.129,0.332,0.141,0.11,0.141,,,0.228,0.672,0.328,0.394,0.328,0.078,0.053,0.044,0.238,,,2.771,0.167,,0.597,,,0.133,0.87,25.635,0.489,0.323,0.45,0.402,0.819,6.227,7.784,,,,341.075,1.02,1.032,78.665,18.09,1.261,1.878,,0.0,0.004,0.063,0.022,1.833,0.637,1.00%,DHI,23331A10,BBB-
212,3735,49680,2008/12/31,2009/9/30,2010-01-31,21.132,0.518,10.813,9.564,9.993,9.965,9.965,2.051,12.688,0.032,0.106,0.181,0.151,0.509,0.131,0.115,0.117,0.131,0.247,0.117,0.102,0.117,0.605,0.309,0.315,0.789,0.211,0.216,0.211,0.136,0.04,0.04,0.137,0.236,0.385,1.399,0.021,0.335,0.36,0.783,0.698,0.242,0.895,7.082,0.268,0.157,0.427,0.269,0.745,11.567,15.085,0.41,1.37,1.794,66.61,4.995,0.618,6.248,5.419,0.851,1.079,5.434,0.058,0.0,0.0,-0.035,2.054,2.442,0.22%,DHR,23585110,A+
213,3735,49680,2014/12/31,2015/6/30,2015-08-31,26.53,0.412,18.491,26.29,26.775,28.625,23.972,3.598,15.356,0.141,0.132,0.201,0.177,0.555,0.17,0.092,0.092,0.11,0.254,0.092,0.085,0.092,0.431,0.252,0.252,0.881,0.116,0.12,0.117,0.217,0.034,0.033,0.254,0.199,0.374,0.969,0.029,0.392,0.246,0.667,0.779,0.278,0.851,5.861,0.132,0.088,0.349,0.174,0.537,21.67,27.835,0.648,1.526,1.904,84.034,3.911,0.454,4.675,4.188,0.616,0.699,3.679,0.061,0.0,0.0,-0.047,2.468,67.997,0.62%,DHR,23585110,A
215,61409,82298,2008/12/31,2009/9/30,2010-01-31,17.307,0.313,4.997,9.135,9.135,9.135,9.135,3.492,7.411,0.8,0.382,0.615,0.523,0.641,0.508,0.433,0.359,0.472,0.29,0.408,0.316,0.408,0.419,0.374,0.433,0.823,0.177,0.178,0.177,0.474,0.043,0.043,0.326,0.035,0.476,0.336,0.003,0.278,0.396,4.25,3.258,1.019,0.162,0.5,0.189,0.14,0.352,0.192,0.543,43.997,58.854,1.172,2.752,2.852,64.699,25.036,0.676,5.093,16.928,0.859,1.044,3.735,0.0,0.0,0.0,-0.061,3.063,0.274,8.74%,DO,25271C10,A-
216,61409,82298,2012/12/31,2013/9/30,2013-12-31,7.805,0.6,8.66,12.136,12.136,12.936,12.936,2.688,6.825,0.801,0.208,0.425,0.294,0.454,0.265,0.173,0.12,0.142,0.215,0.133,0.106,0.133,0.132,0.124,0.183,0.764,0.236,0.246,0.236,0.338,0.064,0.062,0.51,0.027,0.24,1.196,0.042,0.197,0.541,2.391,2.216,0.493,0.2,0.52,0.278,0.205,0.364,0.254,0.571,7.625,9.389,2.581,3.665,3.768,51.254,29.761,0.404,6.211,18.428,0.485,0.635,2.033,0.0,0.0,0.0,-0.075,1.523,,6.15%,DO,25271C10,A
217,61409,82298,2013/12/31,2014/9/30,2014-12-31,6.016,1.061,8.178,16.172,16.243,13.301,13.301,1.772,5.651,1.281,0.134,0.386,0.237,0.413,0.191,0.135,0.074,0.098,0.291,0.083,0.071,0.083,0.094,0.085,0.142,0.676,0.324,0.361,0.324,0.282,0.059,0.052,0.409,0.025,0.223,2.22,0.103,0.213,0.586,1.381,1.123,0.284,-0.393,0.632,0.429,0.294,0.449,0.357,0.816,3.983,5.278,1.921,2.684,2.753,51.902,30.681,0.343,5.834,16.198,0.421,0.623,2.044,0.0,0.0,0.0,-0.063,1.01,,9.53%,DO,25271C10,A-
218,61409,82298,2014/12/31,2014/12/31,2015-04-30,6.422,0.99,6.424,14.004,14.004,11.911,11.911,1.631,4.624,1.245,0.137,0.403,0.24,0.432,0.183,0.138,0.076,0.098,0.249,0.085,0.07,0.085,0.094,0.084,0.151,0.691,0.309,0.348,0.309,0.3,0.061,0.054,0.07,0.063,0.516,1.981,0.111,0.24,0.559,1.323,1.159,0.278,-1.047,0.514,0.4,0.28,0.445,0.349,0.802,4.003,5.251,0.291,0.984,1.05,46.381,29.419,0.343,6.032,13.789,0.437,0.632,66.363,0.0,0.0,0.0,-0.074,0.921,,8.22%,DO,25271C10,BBB+
219,61409,82298,2015/12/31,2016/3/31,2016-07-31,6.081,1.485,5.034,43.692,43.692,45.44,45.44,1.373,3.814,3.762,0.03,0.463,0.26,0.491,-0.005,0.138,0.015,0.089,,0.016,0.027,0.016,0.089,0.079,0.149,0.68,0.32,0.376,0.32,0.233,0.055,0.047,0.041,0.061,0.611,2.229,0.15,0.227,0.618,1.434,1.115,0.241,0.154,0.488,0.436,0.314,0.432,0.363,0.761,1.631,5.415,0.181,0.945,1.006,64.137,25.748,0.304,5.042,16.127,0.365,0.536,65.83,0.0,0.0,0.0,-0.1,0.704,,,DO,25271C10,BBB
220,61409,82298,2015/12/31,2016/9/30,2016-11-30,7.147,1.572,6.5,-3.778,-3.778,-3.376,-3.376,1.404,3.252,,-0.416,0.444,0.211,0.48,-0.515,0.11,-0.169,0.059,,-0.18,-0.099,-0.18,0.059,0.053,0.125,0.662,0.338,0.372,0.338,-0.184,0.055,0.05,0.039,0.058,0.592,2.788,0.091,0.184,0.692,1.481,1.441,0.241,0.12,0.472,0.486,0.323,0.424,0.365,0.737,-5.68,3.393,0.212,1.028,1.092,64.837,27.273,0.261,5.16,18.465,0.3,0.454,-114.63,0.0,0.0,0.0,-0.214,0.652,,,DO,25271C10,BB+
221,61409,82298,2015/12/31,2016/9/30,2017-01-31,6.482,1.572,6.5,-3.427,-3.427,-3.062,-3.062,1.274,2.95,,-0.416,0.444,0.211,0.48,-0.515,0.11,-0.169,0.059,,-0.18,-0.099,-0.18,0.059,0.053,0.125,0.662,0.338,0.372,0.338,-0.184,0.055,0.05,0.039,0.058,0.592,2.788,0.091,0.184,0.692,1.481,1.441,0.241,0.12,0.472,0.486,0.323,0.424,0.365,0.737,-5.68,3.393,0.212,1.028,1.092,64.837,27.273,0.261,5.16,18.465,0.3,0.454,-114.63,0.0,0.0,0.0,-0.214,0.592,,,DO,25271C10,BB-
222,4058,25953,2008/12/31,2009/9/30,2010-01-31,14.364,0.605,8.259,16.556,16.62,18.169,21.123,1.332,10.046,0.428,0.073,0.163,0.121,0.403,0.094,0.125,0.105,0.122,0.266,0.114,0.088,0.114,0.321,0.21,0.312,0.677,0.323,0.346,0.323,0.116,0.05,0.047,0.218,0.239,0.366,2.026,0.068,0.272,0.48,0.934,0.758,0.246,0.842,4.508,0.44,0.257,0.498,0.376,0.993,5.729,7.797,0.8,1.833,2.409,81.219,5.937,0.776,6.492,9.646,1.047,1.546,4.06,0.032,0.0,0.0,-0.045,1.828,,2.43%,DOV,26000310,A
223,4058,25953,2015/12/31,2016/3/31,2016-05-31,13.405,0.431,10.041,17.338,17.52,18.188,13.877,1.509,12.41,0.449,0.084,0.183,0.134,0.42,0.111,0.147,0.139,0.145,0.256,0.161,0.109,0.161,0.488,0.263,0.334,0.6,0.4,0.458,0.4,0.133,0.055,0.048,0.093,0.321,0.449,2.208,0.127,0.314,0.483,0.797,0.53,0.168,0.804,5.957,0.575,0.321,0.58,0.485,1.382,5.38,6.967,0.296,1.113,1.638,78.127,4.81,0.795,5.928,6.133,1.135,1.893,6.829,0.017,0.005,0.0,-0.03,2.408,,2.52%,DOV,26000310,A-
224,31846,81655,2009/5/31,2009/11/30,2010-01-31,14.683,0.458,6.869,12.923,13.2,13.44,13.489,0.723,5.843,0.322,0.054,0.128,0.088,0.226,0.074,0.183,0.216,0.18,0.275,0.252,0.141,0.252,0.242,0.163,0.321,0.5,0.5,0.576,0.5,0.095,0.062,0.054,0.022,0.467,0.08,2.032,0.133,0.351,0.473,0.765,0.738,0.229,0.489,1.031,0.853,0.37,0.678,0.566,2.11,4.851,6.239,0.064,0.248,0.464,3.096,21.296,1.42,161.211,22.087,2.209,4.415,,0.0,0.043,0.0,-0.099,2.565,3.15,2.71%,DRI,23719410,BBB
225,31846,81655,2013/5/31,2013/8/31,2013-10-31,16.986,0.402,13.58,29.278,29.959,31.421,18.273,1.107,7.368,1.228,0.036,0.111,0.064,0.214,0.041,0.101,0.095,0.085,0.21,0.112,0.076,0.112,0.113,0.077,0.187,0.438,0.562,0.616,0.562,0.131,0.051,0.047,0.018,0.492,0.093,4.124,0.088,0.305,0.513,0.447,0.603,0.195,0.222,1.135,1.088,0.402,0.714,0.611,2.498,2.655,2.973,0.06,0.271,0.533,9.601,12.031,0.875,80.921,14.365,1.341,3.061,,0.0,0.048,0.0,-0.103,2.775,,4.27%,DRI,23719410,BBB-
226,31846,81655,2015/5/31,2016/2/29,2016-04-30,26.049,0.264,10.26,19.393,19.762,23.851,23.58,1.123,11.341,0.813,0.048,0.128,0.085,0.223,0.057,0.155,0.132,0.162,-0.12,0.15,0.11,0.15,0.221,0.147,0.288,0.69,0.31,0.374,0.31,0.092,0.082,0.068,0.176,0.154,0.058,1.302,0.171,0.411,0.299,0.674,0.52,0.129,0.656,1.248,0.398,0.216,0.601,0.388,1.505,5.217,7.469,0.429,0.691,0.817,1.393,32.319,1.294,109.755,27.626,2.236,3.241,,0.0,0.036,0.0,-0.065,3.688,0.718,3.21%,DRI,23719410,BBB
227,3897,11674,2008/12/31,2009/9/30,2010-01-31,12.36,1.452,6.256,12.663,12.663,12.663,12.663,0.86,3.13,0.64,0.067,0.274,0.154,0.274,0.098,0.092,0.066,0.085,0.352,0.089,0.069,0.089,0.1,0.081,0.091,0.44,0.558,0.606,0.559,0.187,0.07,0.064,0.007,0.177,0.455,3.825,0.08,0.137,0.431,0.891,0.895,0.084,0.46,1.459,0.943,0.349,0.745,0.599,2.94,2.0,2.299,0.051,0.946,1.15,46.159,11.627,0.334,6.226,8.06,0.579,1.317,21.719,0.0,0.0,0.0,-0.07,0.824,,5.04%,DTE,23333110,BBB
228,3897,11674,2009/12/31,2010/9/30,2010-12-31,12.794,1.163,6.307,12.695,12.73,12.73,12.73,0.901,4.634,0.59,0.07,0.291,0.167,0.291,0.107,0.103,0.069,0.098,0.316,0.093,0.073,0.093,0.111,0.093,0.103,0.477,0.52,0.592,0.522,0.195,0.078,0.069,0.01,0.206,0.462,3.261,0.122,0.15,0.402,0.938,0.626,0.102,0.375,1.391,0.807,0.334,0.729,0.574,2.708,2.079,2.565,0.068,0.821,1.034,47.591,10.719,0.352,6.735,9.198,0.623,1.307,94.238,0.0,0.0,0.0,-0.044,0.849,,4.94%,DTE,23333110,BBB+
229,4093,27959,2008/12/31,2009/9/30,2010-01-31,14.017,1.344,8.116,44.68,44.68,64.409,60.482,1.691,6.356,1.211,0.078,0.336,0.206,0.336,0.133,0.08,0.037,0.072,0.326,0.047,0.043,0.047,0.074,0.066,0.079,0.593,0.402,0.433,0.404,0.223,0.052,0.048,0.035,0.237,0.263,3.622,0.071,0.12,0.438,1.09,0.863,0.104,-0.238,0.937,0.535,0.286,0.606,0.44,1.546,2.334,3.534,0.293,1.058,1.386,45.583,6.557,0.235,8.906,7.396,0.356,0.6,8.403,0.0,0.0,0.0,-0.044,0.782,,5.81%,DUK,26441C10,A-
230,4093,27959,2011/12/31,2012/3/31,2012-07-31,34.911,1.099,9.526,46.745,46.745,60.518,60.518,3.291,13.316,0.898,0.103,0.343,0.217,0.343,0.146,0.082,0.049,0.074,0.305,0.065,0.049,0.065,0.073,0.066,0.081,0.553,0.444,0.489,0.445,0.246,0.047,0.043,0.047,0.25,0.199,4.039,0.092,0.126,0.475,1.031,0.742,0.093,-0.213,0.908,0.595,0.328,0.627,0.484,1.689,2.721,3.642,0.371,0.96,1.28,44.664,6.164,0.237,11.776,8.356,0.353,0.638,10.74,0.0,0.0,0.0,-0.034,1.545,8.615,4.43%,DUK,26441C10,BBB+
231,4093,27959,2014/12/31,2014/12/31,2015-04-30,27.847,0.927,11.647,17.71,17.71,22.419,29.162,2.295,8.339,0.913,0.103,0.365,0.236,0.365,0.173,0.074,0.045,0.068,0.404,0.06,0.045,0.06,0.08,0.07,0.072,0.523,0.476,0.545,0.477,0.25,0.045,0.041,0.026,0.299,0.239,4.876,0.125,0.141,0.466,0.777,0.586,0.083,0.183,1.139,0.68,0.352,0.661,0.523,1.953,2.451,3.337,0.181,0.723,1.03,68.563,4.533,0.203,8.296,6.613,0.306,0.585,69.971,0.0,0.0,0.0,-0.035,1.004,,4.10%,DUK,26441C20,A-
232,61483,82307,2008/12/31,2009/9/30,2010-01-31,19.971,0.407,7.905,7.545,7.584,7.584,7.584,1.018,8.746,0.0,0.069,0.192,0.154,0.306,0.122,0.158,0.189,0.164,0.358,0.213,0.114,0.213,0.448,0.292,0.249,0.336,0.612,0.627,0.645,0.113,0.056,0.054,0.1,0.033,0.613,3.192,0.024,0.216,0.704,1.044,0.633,0.108,0.571,4.765,1.599,0.499,0.691,0.665,2.583,3.053,4.609,0.463,1.907,1.972,65.851,57.469,0.814,4.499,16.82,1.023,3.041,5.596,0.0,0.0,0.0,-0.039,2.565,0.47,,DVA,23918K10,BB-
233,61483,82307,2013/12/31,2014/3/31,2014-06-30,31.811,0.372,9.411,18.932,19.337,19.733,19.733,1.293,8.543,0.0,0.066,0.198,0.153,0.297,0.117,0.142,0.16,0.145,0.339,0.189,0.101,0.189,0.618,0.344,0.21,0.327,0.611,0.631,0.651,0.121,0.054,0.052,0.078,0.026,0.536,3.544,0.032,0.206,0.694,0.981,0.748,0.15,0.654,5.561,1.581,0.497,0.693,0.675,2.688,2.799,4.191,0.379,1.376,1.412,31.363,95.414,0.707,6.522,12.877,0.897,2.74,11.988,0.0,0.0,0.0,-0.061,2.826,6.845,,DVA,23918K10,BB
234,14934,87137,2008/12/31,2009/9/30,2010-01-31,34.438,0.547,-2.661,-2.866,-2.866,-2.907,-2.959,3.589,6.576,,-1.225,-1.482,-1.814,-1.403,-1.849,-0.385,-0.49,-0.64,,-0.588,-0.37,-0.588,-0.684,-0.596,-0.412,0.715,0.285,0.337,0.285,-0.866,0.074,0.062,0.043,0.097,0.547,-0.561,0.156,0.244,0.426,-3.689,1.359,0.634,-0.633,0.706,0.348,0.244,0.483,0.371,0.934,-22.643,-35.016,0.175,0.696,0.77,34.786,80.234,0.294,5.907,11.602,0.406,0.568,,0.0,0.0,0.0,-0.471,1.816,,0.96%,DVN,25179M10,BBB+
235,14934,87137,2015/12/31,2015/12/31,2016-02-29,-4.599,0.593,-1.667,-0.623,-0.623,-0.554,-0.554,0.764,1.866,,-1.1,-1.209,-1.453,-1.144,-1.618,-0.396,-0.809,-0.721,,-1.011,-0.345,-1.011,-0.674,-0.58,-0.509,0.305,0.525,0.567,0.633,-0.919,0.053,0.048,0.125,,0.311,-0.825,0.074,0.178,0.655,-4.823,1.634,0.29,-0.192,0.972,1.529,0.444,0.628,0.677,2.631,-23.708,-32.641,0.701,1.081,1.222,,,0.328,7.043,,0.568,1.865,17.982,0.0,0.0,0.0,-0.495,1.265,,4.88%,DVN,25179M10,BBB
236,114524,86356,2008/12/31,2009/9/30,2010-01-31,27.964,0.418,8.431,20.193,20.372,21.119,21.119,3.56,10.59,0.0,0.167,0.313,0.218,0.78,0.21,0.171,0.125,0.157,0.185,0.125,0.153,0.125,0.453,0.247,0.405,1.0,0.0,0.043,0.0,0.264,,0.013,0.718,0.0,0.426,0.19,1.0,0.801,0.0,0.738,0.792,0.639,0.804,3.594,0.0,0.031,0.275,0.171,0.379,222.41,265.497,0.896,1.767,1.767,,,0.519,3.132,0.963,0.716,0.716,3.072,0.094,0.108,0.0,-0.09,2.343,0.063,,EBAY,27864210,A-
237,114524,86356,2009/12/31,2009/12/31,2010-03-31,26.205,0.452,11.527,25.683,26.182,14.736,14.736,4.038,12.119,0.0,0.274,0.304,0.211,0.779,0.33,0.156,0.192,0.142,0.17,0.192,,0.192,0.371,0.213,0.369,1.0,0.0,0.0,0.0,0.367,,,1.07,0.0,0.377,0.0,,0.788,0.0,0.727,0.798,0.629,0.805,3.516,0.0,0.0,0.251,0.146,0.335,,,1.357,2.323,2.323,,,0.513,3.083,0.968,0.633,0.633,1.811,0.092,0.092,0.0,-0.031,2.556,0.108,,EBAY,27864210,A
238,114524,86356,2014/12/31,2015/3/31,2015-07-31,13.82,0.28,18.972,13.019,13.019,-96.966,49.333,3.157,6.059,0.0,-0.038,0.363,0.286,0.879,0.281,0.092,-0.021,0.12,0.987,-0.021,-0.009,-0.021,0.305,0.115,0.217,0.758,0.242,0.273,0.242,0.414,0.029,0.026,0.384,0.0,0.571,1.789,0.112,0.707,0.256,0.228,0.327,0.225,0.755,8.616,0.32,0.16,0.556,0.476,1.251,-1.286,17.033,0.543,1.461,1.461,,,0.246,0.752,0.123,0.42,0.555,1.36,0.111,0.073,0.0,-0.14,1.753,,,EBAY,27864210,BBB+
239,4213,70578,2008/12/31,2009/9/30,2010-01-31,27.89,0.186,9.78,23.228,23.476,27.61,27.61,1.792,13.226,0.345,0.066,0.181,0.124,0.548,0.097,0.216,0.203,0.248,0.312,0.212,0.167,0.212,0.48,0.25,0.658,0.676,0.321,0.431,0.322,0.122,0.084,0.062,0.027,0.272,0.557,1.049,0.254,0.442,0.265,0.765,0.574,0.237,0.628,2.736,0.455,0.228,0.641,0.456,1.795,6.537,10.501,0.061,0.92,1.263,78.236,5.576,1.201,6.018,7.551,2.273,3.363,16.12,0.015,0.0,0.0,-0.083,5.107,4.084,1.41%,ECL,27886510,A
